Aha Quin,090600193,CA,,,09,TNCWS,320,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=090600193
Ak Chin,090400022,AZ,,,09,CWS,120,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=090400022
Ak Chin Nursing Home,090400232,AZ,,,09,CWS,400,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=090400232
Ak Chin Santa Cruz Commerce Center,090400094,AZ,,,09,NTNCWS,81,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=090400094
Ak Chin Village,090400090,AZ,,,09,CWS,6883,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=090400090
Ak Chin Village,090400264,,,,09,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=090400264
Ak-Chin Southern Dunes Golf Club,090400098,AZ,,,09,NTNCWS,270,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=090400098
Akimel Smoke Shop,090400684,AZ,,,09,TNCWS,308,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=090400684
Alchesay Fish Hatchery,090400378,AZ,,,09,TNCWS,33,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=090400378
Alpine Clinic (SIHC),090605115,CA,,,09,NTNCWS,220,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=090605115
Alturas Desert Rose Casino,090600601,CA,,,09,NTNCWS,464,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=090600601
Andrade Border Station,090400678,CA,,,09,NTNCWS,647,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=090400678
Anegam,090400039,AZ,,,09,CWS,232,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=090400039
Apache Burger Travel Center,090400685,AZ,,,09,TNCWS,650,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=090400685
Apache Gold Casino,090400698,AZ,,,09,NTNCWS,1475,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=090400698
Apache Sky Casino,090400667,AZ,,,09,NTNCWS,400,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=090400667
Arizona Processing,090400683,AZ,,,09,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=090400683
Arizona Village,090400300,CA,,,09,CWS,380,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=090400300
Arviso - Mobile Home Park,090605121,CA,,,09,CWS,70,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=090605121
Augustine Casino,090605142,CA,,,09,NTNCWS,950,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=090605142
Avi Casino,090400302,NV,,,09,CWS,3000,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=090400302
Avi Kwa Ame Farms North,090400304,AZ,,,09,CWS,70,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=090400304
B.I.A. ANETH BRD SC,094632002,UT,,,09,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=094632002
B.I.A. COLORADO RIV,090400050,AZ,,,09,CWS,400,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=090400050
B.I.A. DUCK VALLEY,092900067,NV,,,09,CWS,550,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=092900067
B.I.A. LAKE VALLEY,093234010,NM,,,09,CWS,175,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=093234010
B.I.A. NAVAJO MTN.,094633011,UT,,,09,CWS,50,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=094633011
