BOB HOAG,020010464,NY,,,02,CWS,28,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=020010464
BOB HOAG,020019100,NY,,,02,CWS,32,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=020019100
CATTARAUGUS CWS,020000008,NY,,,02,CWS,5000,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=020000008
HIGHBANKS CAMPGROUND,020000009,,,,02,CWS,600,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=020000009
HIGHBANKS CAMPGROUND,020000010,,,,02,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=020000010
HIGHBANKS CAMPGROUND,020000007,NY,,,02,TNCWS,200,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=020000007
HOAG'S LAUNDRY,020011103,NY,,,02,NTNCWS,15,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=020011103
IRVING INDUSTRIAL PARK,020000003,NY,,,02,TNCWS,100,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=020000003
ISTAS RESTAURANT,020000013,NY,,,02,TNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=020000013
JIMMERSONTOWN WS,020000001,NY,,,02,CWS,296,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=020000001
ONONDAGA NATION WS,020000012,NY,,,02,CWS,1000,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=020000012
RICHARDSON ROAD WS,020000002,NY,,,02,CWS,20,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=020000002
SHELTON TRAILER PARK,020011102,NY,,,02,CWS,42,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=020011102
ST. REGIS MOHAWK TRIBE,020000005,NY,,,02,CWS,5500,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=020000005
STEAMBURG WS,020000004,NY,,,02,CWS,288,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=020000004
SULLIVAN HOLLOW,020000016,NY,,,02,CWS,64,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=020000016
THOMAS INDIAN SCHOOL,020000006,NY,,,02,CWS,280,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=020000006
TUSCARORA NATION SCHOOL,020000015,NY,,,02,NTNCWS,175,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=020000015
WOLFCLAN TRUCKSTOP,020000014,NY,,,02,TNCWS,75,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=020000014
