.,SC1070138,SC,Edgefield,,04,TNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC1070138
14 CARROT WHOLE FOODS IN,SC3280002,SC,Lexington,,04,TNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC3280002
15A TOUR LDG #1,SC4370402,SC,Sumter,,04,TNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC4370402
15A TOUR LDG #2,SC4370401,SC,Sumter,,04,TNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC4370401
164 SPRING GROVE RD (0830023)S3,SC0830023,SC,Berkeley,,04,NTNCWS,6,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC0830023
1ST BANK CAROWINDS,SC4670921,SC,York,,04,TNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC4670921
28 BY PASS TR P,SC0460009,SC,Beaufort,,04,CWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC0460009
301 CLUB (0372000),SC0372000,SC,Allendale,,04,TNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC0372000
302 LOUNGE BAR AND GRILL (0272006)S3,SC0272006,SC,Aiken,,04,TNCWS,2,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC0272006
341 BAR & GRILL (SC2972002),SC2972002,SC,Kershaw,,04,TNCWS,26,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC2972002
341 EXPRESS (2174000),SC2174000,SC,Florence,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC2174000
385 MARKET,SC3070901,SC,Laurens,,04,TNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC3070901
3V CHEMICAL CORPORATION,SC2230004,SC,Georgetown,,04,NTNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC2230004
4 WAY STOP (4570950),SC4570950,SC,Williamsburg,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC4570950
501 RESTAURANT,SC3370200,SC,McCormick,,04,TNCWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC3370200
521 GRILL,SC2970205,SC,York,,04,TNCWS,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=SC2970205
