ABE LOSSIAH-ED YOUNGBIRD,043700003,NC,,,04,CWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043700003
ADAM THOMPSON ED YOUNGBIRD,043700011,NC,,,04,CWS,0,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043700011
ADAMS CREEK WELL,043700014,NC,,,04,CWS,500,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043700014
ALEX CATOLSTER,043700050,NC,,,04,CWS,54,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043700050
BELL TAYLOR ED YOUNGBIRD,043700009,NC,,,04,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043700009
BEN HORNBUCKLE-ED YOUNGBIRD,043700042,NC,,,04,CWS,65,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043700042
BETHELBERA BAPTIST CHURCH,043740036,NC,,,04,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043740036
BIG COVE BAPTIST CHURCH,043740034,NC,,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043740034
BIG COVE COMM CLUB EDYOUNGBIRD,043700033,NC,,,04,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043700033
BIG COVE LOW RENT-ED YOUNGBIRD,043700035,NC,,,04,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043700035
BIG COVE RECREATIONAL CENTER,043740052,NC,,,04,TNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043740052
BIG STEER,043740009,NC,,,04,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043740009
BIG Y COMM CLUB ED YOUNGBIRD,043700044,NC,,,04,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043700044
BIG Y LOW RENT-ED YOUNGBIRD,043700043,NC,,,04,CWS,31,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043700043
BIGWITCH BAPTIST CHURCH,043740030,NC,,,04,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043740030
BOB MURPHY-ED YOUNGBIRD,043700038,NC,,,04,CWS,44,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043700038
BOB OWLE ED YOUNGBIRD,043700010,NC,,,04,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043700010
BUFFALO BAPTIST CHURCH,043740026,NC,,,04,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043740026
CHEROKEE - BIG COVE HEAD START,043700032,NC,,,04,NTNCWS,67,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043700032
CHEROKEE - ROUGH BRANCH WATER SYSTEM,043700056,NC,,,04,CWS,192,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043700056
CHEROKEE - SNOWBIRD YOUTH CENTER,043740054,NC,,,04,NTNCWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043740054
CHEROKEE - SNOWBIRD/CORNSILK COMMUNITY,043740043,NC,,,04,CWS,160,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043740043
CHEROKEE CAMPING RES.,043700021,NC,,,04,CWS,25,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043700021
CHEROKEE CAMPING RESORT,043740021,NC,,,04,TNCWS,30,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043740021
CHEROKEE KOA CAMPGROUND,043740010,NC,,,04,TNCWS,700,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043740010
CHEROKEE SNOWBIRD SENIOR CITIZENS CENTER,043740044,NC,,,04,NTNCWS,65,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043740044
CHEROKEE WATER SYSTEM,043740039,NC,,,04,CWS,9694,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043740039
CHEROKEE- 3200 ACRE COMMUNITY WS,043740040,NC,,,04,CWS,53,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=043740040
